序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
35	接收	21:59:12.401		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
36	接收	21:59:12.901		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
37	接收	21:59:13.402		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
38	接收	21:59:13.902		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
39	接收	21:59:14.403		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
40	接收	21:59:14.904		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
41	接收	21:59:15.403		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
42	接收	21:59:15.903		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
43	接收	21:59:16.405		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
44	接收	21:59:16.906		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
45	接收	21:59:17.407		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
46	接收	21:59:17.907		PDU1	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0x8 "; DA="0x50 "; SA="0xC8 "; PGN="0x800 "; Data Field="0xA4 00 00 00 00 00 00 00 "; 	帧ID:100850C8 数据帧 扩展帧 DLC:08 Data:A4 00 00 00 00 00 00 00 	
