序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
29	接收	22:04:56.823		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
30	接收	22:04:56.848		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
31	接收	22:04:56.874		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
32	接收	22:04:56.898		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
33	接收	22:04:56.924		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
34	接收	22:04:56.948		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
35	接收	22:04:56.974		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
36	接收	22:04:56.999		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
37	接收	22:04:57.022		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
38	接收	22:04:57.048		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
39	接收	22:04:57.073		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
40	接收	22:04:57.098		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
41	接收	22:04:57.122		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
42	接收	22:04:57.148		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
43	接收	22:04:57.172		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x8D "; PGN="0xF810 "; Data Field="0x78 02 00 00 A7 00 00 00 "; 	帧ID:10F8108D 数据帧 扩展帧 DLC:08 Data:78 02 00 00 A7 00 00 00 	
44	接收	22:04:57.199		PDU2	Priority="0x4 "; R="0x0 "; DP="0x0 "; PF="0xF8 "; GE="0x10 "; SA="0x9A "; PGN="0xF810 "; Data Field="0x40 00 00 00 00 00 00 00 "; 	帧ID:10F8109A 数据帧 扩展帧 DLC:08 Data:40 00 00 00 00 00 00 00 	
