序号	传输方向	时间标识	状态	报文描述	报文内容	CAN帧	
50	接收	20:54:16.948		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFF "; GE="0xE5 "; SA="0xF4 "; PGN="0xFFE5 "; Data Field="0x00 00 00 00 01 00 73 64 "; 	帧ID:18FFE5F4 数据帧 扩展帧 DLC:08 Data:00 00 00 00 01 00 73 64 	
51	接收	20:54:16.952		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xCB "; DA="0x28 "; SA="0xF4 "; PGN="0xCB00 "; Data Field="0x0E 93 0E 92 0E 93 0E 93 "; 	帧ID:18CB28F4 数据帧 扩展帧 DLC:08 Data:0E 93 0E 92 0E 93 0E 93 	
52	接收	20:54:16.993		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x3 "; SA="0xF4 "; PGN="0xF103 "; Data Field="0x01 03 18 C7 00 00 00 00 "; 	帧ID:18F103F4 数据帧 扩展帧 DLC:08 Data:01 03 18 C7 00 00 00 00 	
53	接收	20:54:17.002		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xCC "; DA="0x28 "; SA="0xF4 "; PGN="0xCC00 "; Data Field="0x0E 93 00 00 00 00 00 00 "; 	帧ID:18CC28F4 数据帧 扩展帧 DLC:08 Data:0E 93 00 00 00 00 00 00 	
54	接收	20:54:17.038		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFE "; GE="0x28 "; SA="0xF4 "; PGN="0xFE28 "; Data Field="0x96 0E 91 0E 3F 3F 3C 05 "; 	帧ID:18FE28F4 数据帧 扩展帧 DLC:08 Data:96 0E 91 0E 3F 3F 3C 05 	
55	接收	20:54:17.052		PDU1	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xB4 "; DA="0x28 "; SA="0xF4 "; PGN="0xB400 "; Data Field="0x3F 3F 3F 3F 3F 00 00 00 "; 	帧ID:18B428F4 数据帧 扩展帧 DLC:08 Data:3F 3F 3F 3F 3F 00 00 00 	
56	接收	20:54:17.088		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFF "; GE="0x28 "; SA="0xF4 "; PGN="0xFF28 "; Data Field="0x18 4F 88 13 7A 02 00 00 "; 	帧ID:18FF28F4 数据帧 扩展帧 DLC:08 Data:18 4F 88 13 7A 02 00 00 	
57	接收	20:54:17.093		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x1 "; SA="0xF4 "; PGN="0xF101 "; Data Field="0x0B 00 4F 0C 05 DC 0B B8 "; 	帧ID:18F101F4 数据帧 扩展帧 DLC:08 Data:0B 00 4F 0C 05 DC 0B B8 	
58	接收	20:54:17.143		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xF1 "; GE="0x2 "; SA="0xF4 "; PGN="0xF102 "; Data Field="0x00 00 00 00 00 00 00 00 "; 	帧ID:18F102F4 数据帧 扩展帧 DLC:08 Data:00 00 00 00 00 00 00 00 	
59	接收	20:54:17.188		PDU2	Priority="0x6 "; R="0x0 "; DP="0x0 "; PF="0xFF "; GE="0x28 "; SA="0xF4 "; PGN="0xFF28 "; Data Field="0x18 4F 88 13 7A 02 00 00 "; 	帧ID:18FF28F4 数据帧 扩展帧 DLC:08 Data:18 4F 88 13 7A 02 00 00 	
